ABB	ABUTELON BLOSSOMS
ABF	ABUTELON FRUITS
ADG	ACACIA DREPANOLOBIUM GUM
ADL	ACACIA DREPANOLOBIUM LEAVES
ATF	AZIMA TETRACANTHA FRUITS
ATL	AZIMA TETRACANTHA LEAVES
ATX	AZIMA TETRACANTHA UNKNOWN PART
BGF	BALANITES GLABRA FRUIT
BGG	BALANITES GLABRA GUM
CAF	COMMELINA AFRICANA FRUITS
CAS	COMMELINA AFRICANA STEMS
CBF	COMMELINA BENGHALENSIS FRUITS
CBL	COMMELINA BENGHALENSIS LEAVES
CBS	COMMELINA BENGHALENSIS STEMS
CDL	CYNODON DACTYLON LEAVES
CMF	COMIA MONOICA (SANDPAPER PLANT) FRUITS
CTF	CAPPARIS TOMENTOSA FRUIT
CUF	CUCUMIS SPP. FRUIT
CUR	CUCUMIS SPP. ROOTS
DOD	DODDER WEED
EDJ	JUICE FROM ELEPHANT DUNG
ESF	EUCLEA SCHIMPERI FRUIT
FTB	FEVER TREE BLOSSOMS
FTD	FEVER TREE SEEDS
FTG	FEVER TREE GUM
FTK	FEVER TREE BARK
FTL	FEVER TREE LEAVES
FTP	FEVER TREE PODS
FTX	FEVER TREE UNKNOWN PART
GAL	DREPANOLOBIUM GALLS
GAR	GARBAGE
GBF	GREWIA BICOLOR FRUITS
GRC	GRASS CORMS OF OTHER OR UNKNOWN SPECIES
GRD	GRASS SEED HEAD
GRL	GRASS LEAVES OF OTHER OR UNKNOWN SPECIES
GRT	GRASS BLADE BASES
GVF	GREWIA VILLOSA FRUITS
MCF	MAERUA CRASSIFOLIA FRUITS
NVR	INVERTEBRATE
OEB	ORNITHOGALUM ECKLONII BLOSSOMS
OEL	ORNITHOGALUM ECKLONII LEAVES
OER	ORNITHOGALUM ECKLONII ROOTS
OET	ORNITHOGALUM ECKLONII BLADE BASES
OTH	OTHER
PCM	MOTHER'S MILK
RMB	RAMPHICARPA MONTANA BLOSSOMS
RMF	RAMPHICARPA MONTANA FRUITS
RML	RAMPHICARPA MONTANA LEAVES
RNF	RHUS NATALENSIS FRUIT
RPD	RUELLIA PATULA SEEDS
SCL	SPOROBOLUS CONSIMILIS LEAVES
SCT	SPOROBOLUS CONSIMILIS BLADE BASES
SDF	SOLANUM DUBIUM FRUITS
SFF	COMMICARPUS FRUITS
SKC	SPOROBOLUS KENTROPHYLLUS CORMS
SMF	SCUTIA MYRTINA FRUITS
SPF	SALVADORA PERSICA FRUITS
SPL	SALVADORA PERSICA LEAVES
SUL	SUAEDA LEAVES
TCF	TRIANTHEMA CERATOSEPALA FRUITS
TCL	TRIANTHEMA CERATOSEPALA LEAVES
TCX	TRIANTHEMA CERATOSEPALA UNKNOWN PART
TFB	LYCEUM BLOSSOMS
TFF	LYCEUM FRUITS
TFL	LYCEUM LEAVES
TFX	LYCEUM UNKNOWN PART
TOB	TORTILIS BLOSSOMS
TOD	TORTILIS SEEDS
TOG	TORTILIS GUM
TOL	TORTILIS LEAVES
TOP	TORTILIS PODS
TOX	TORTILIS UNKNOWN PART
TTB	TRIBULUS TERRESTRIS BLOSSOMS
TTF	TRIBULUS TERRESTRIS FRUITS
TTL	TRIBULUS TERRESTRIS LEAVES
TTX	TRIBULUS TERRESTRIS UNKNOWN PART
UNK	UNKNOWN
VRT	VERTEBRATE
WAX	WATER
WSF	WITHANIA FRUITS
XAF	XIMANIA AMERICANA FRUITS
XXB	OTHER OR UNKNOWN BLOSSOMS
XXC	OTHER OR UNKNOWN CORMS
XXD	IN OR UNDER DUNG, OR OTHER OR UNKNOWN SEED
XXF	OTHER OR UNKNOWN FRUITS
XXG	OTHER OR UNKNOWN GUM
XXK	OTHER OR UNKNOWN BARK
XXL	OTHER OR UNKNOWN LEAVES
XXP	OTHER OR UNKNOWN PODS
XXR	OTHER OR UNKNOWN ROOTS
